"GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"35544",0.3711,0.9748,0.6494,0.316,0.5928,2018,"AL"
"35545",0.4906,0.5818,0,0.3789,0.305,2018,"AL"
"35546",0.6792,0.5755,0.4607,0.8491,0.7626,2018,"AL"
"35548",0.7877,0.9308,0.0409,0.4638,0.6164,2018,"AL"
"35549",0.6934,0.9513,0.1022,0.8679,0.7956,2018,"AL"
"35550",0.7972,0.8412,0.1132,0.8711,0.7925,2018,"AL"
"35552",0.6588,0.8113,0.0881,0.4434,0.4921,2018,"AL"
"35553",0.8192,0.7846,0.1274,0.6384,0.6871,2018,"AL"
"35554",0.3176,0.5991,0.055,0.5456,0.3255,2018,"AL"
"35555",0.4513,0.739,0.2374,0.8333,0.6572,2018,"AL"
"35559",0.1667,0,0,0,0.0016,2018,"AL"
"35563",0.5094,0.9481,0.5157,0.7437,0.7689,2018,"AL"
"35564",0.7233,0.4827,0.0425,0.3538,0.3915,2018,"AL"
"35565",0.6226,0.9057,0.4843,0.9057,0.8553,2018,"AL"
"35570",0.5519,0.8019,0.6274,0.805,0.772,2018,"AL"
"35571",0.5535,0.0802,0.0959,0.1494,0.1242,2018,"AL"
"35572",0.6164,0.2736,0.1447,0.0881,0.1698,2018,"AL"
"35574",0.2673,0.3695,0.1415,0.1934,0.1447,2018,"AL"
"35575",0.6557,0.8931,0.5063,0.4261,0.6714,2018,"AL"
"35576",0.2217,0.3475,0.1651,0.3522,0.1824,2018,"AL"
"35577",0.8664,0.0519,0,0.4182,0.3019,2018,"AL"
"35578",0.8695,0.9009,0.3821,0.2594,0.6667,2018,"AL"
"35579",0.8349,0.7752,0.2814,0.8726,0.8443,2018,"AL"
"35580",0.7327,0.5393,0.4167,0.5252,0.6242,2018,"AL"
"35581",0.6887,0.8035,0.2642,0.4796,0.6038,2018,"AL"
"35582",0.8994,0.533,0.261,0.4654,0.6289,2018,"AL"
"35584",0.9481,0.9937,0.3868,0.2123,0.7767,2018,"AL"
"35585",0.2767,0.6934,0.0377,0.0267,0.0755,2018,"AL"
"35586",0.8962,0.816,0.1682,0.5157,0.6965,2018,"AL"
"35587",0.5818,0.6179,0.4513,0.1682,0.3947,2018,"AL"
"35592",0.7484,0.9025,0.1777,0.8349,0.805,2018,"AL"
"35593",0.478,0.6226,0.316,0.7987,0.6541,2018,"AL"
"35594",0.4308,0.9607,0.3648,0.772,0.7484,2018,"AL"
"35601",0.695,0.8632,0.967,0.945,0.9497,2018,"AL"
"35603",0.184,0.5865,0.7846,0.6855,0.5299,2018,"AL"
"35610",0.2516,0.1069,0.4575,0.044,0.0692,2018,"AL"
"35611",0.6997,0.6903,0.8789,0.9167,0.9041,2018,"AL"
"35613",0.2296,0.1572,0.5094,0.6667,0.3538,2018,"AL"
"35614",0.7075,0.8491,0.6934,0.6368,0.7987,2018,"AL"
"35615",0.4009,0.0079,0.2736,0.1038,0.033,2018,"AL"
"35616",0.5991,0.6289,0.1745,0.3145,0.4104,2018,"AL"
"35618",0.9198,0.9403,0.9418,0.6211,0.9434,2018,"AL"
"35619",0.5629,0.5252,0.1667,0.5267,0.4544,2018,"AL"
"35620",0.1824,0.2264,0.434,0.5016,0.2657,2018,"AL"
"35621",0.2956,0.0535,0.4403,0.0991,0.0928,2018,"AL"
"35622",0.4403,0.4717,0.0833,0.8569,0.5173,2018,"AL"
"35630",0.5692,0.3097,0.805,0.9151,0.7814,2018,"AL"
"35633",0.1447,0.3726,0.3239,0.434,0.2217,2018,"AL"
"35634",0.0818,0.2909,0.327,0.3192,0.1399,2018,"AL"
"35640",0.1321,0.3821,0.445,0.3381,0.1981,2018,"AL"
"35643",0.4292,0.2138,0.6431,0.2783,0.3365,2018,"AL"
"35645",0.1195,0.2846,0.3789,0.6179,0.2752,2018,"AL"
"35646",0.6321,0.5267,0.6336,0.4308,0.5676,2018,"AL"
"35647",0.3805,0.0597,0.1541,0.0487,0.0472,2018,"AL"
"35648",0.4041,0.5928,0.0959,0.3286,0.2783,2018,"AL"
"35649",0.0126,0.1053,0.1887,0.0535,0.0189,2018,"AL"
"35650",0.5959,0.6116,0.5425,0.7909,0.7248,2018,"AL"
"35651",0.6509,0.8459,0.2154,0.4324,0.5566,2018,"AL"
"35652",0.173,0.3035,0.3066,0.533,0.2626,2018,"AL"
"35653",0.75,0.5912,0.9607,0.9088,0.9214,2018,"AL"
"35654",0.6305,0.6541,0.8412,0.934,0.8868,2018,"AL"
"35660",0.5377,0.8538,0.6792,0.5535,0.6981,2018,"AL"
"35661",0.1368,0.3538,0.4355,0.5425,0.2814,2018,"AL"
"35670",0.3097,0.1415,0.1305,0.5755,0.2437,2018,"AL"
"35671",0.4748,0.033,0.9638,0.5896,0.4717,2018,"AL"
"35672",0.25,0.7547,0.2909,0.4009,0.3522,2018,"AL"
"35673",0.272,0.456,0.7091,0.4418,0.4277,2018,"AL"
"35674",0.4764,0.706,0.706,0.6132,0.6635,2018,"AL"
"35677",0.3349,0.3255,0.066,0.5708,0.2925,2018,"AL"
"35739",0.1745,0.0566,0.4355,0.2547,0.1179,2018,"AL"
"35740",0.6195,0.9686,0.7296,0.5094,0.7736,2018,"AL"
"35741",0.0157,0.2406,0.1116,0.1918,0.0362,2018,"AL"
"35744",0.8884,0.9167,0.1258,0.2925,0.6101,2018,"AL"
"35745",0.5252,0.1478,0,0.0283,0.0613,2018,"AL"
"35746",0.8899,0.5047,0.1965,0.6447,0.6824,2018,"AL"
"35747",0.206,0.2311,0.2925,0.1509,0.1226,2018,"AL"
"35748",0.2138,0.1242,0.3664,0.4355,0.1918,2018,"AL"
"35749",0.044,0.206,0.7736,0.1651,0.1258,2018,"AL"
"35750",0.2374,0.4041,0.1541,0.6195,0.3082,2018,"AL"
"35751",0.5346,0.0409,0.1525,0.0708,0.0708,2018,"AL"
"35752",0.3569,0.783,0.1321,0.206,0.2673,2018,"AL"
"35754",0.3365,0.1384,0.6148,0.4921,0.3412,2018,"AL"
"35755",0.3852,0.0645,0.0629,0.1384,0.0739,2018,"AL"
"35756",0.0943,0.1321,0.8145,0.0723,0.0833,2018,"AL"
"35757",0.0487,0.1274,0.6871,0.5487,0.1934,2018,"AL"
"35758",0.055,0.1038,0.8318,0.5629,0.239,2018,"AL"
"35759",0.1478,0.1148,0.2846,0.0409,0.0346,2018,"AL"
"35760",0.423,0.3239,0.2657,0.3931,0.3318,2018,"AL"
"35761",0.2311,0.2217,0.2248,0.478,0.2186,2018,"AL"
"35763",0.0236,0.1211,0.4072,0.1588,0.0425,2018,"AL"
"35764",0.8412,0.5362,0.1006,0.5299,0.5582,2018,"AL"
"35765",0.6289,0.7736,0.3082,0.5519,0.6226,2018,"AL"
"35766",0.8318,0.3491,0.1462,0,0.1509,2018,"AL"
"35768",0.4167,0.2594,0.6226,0.8443,0.6211,2018,"AL"
"35769",0.2358,0.3208,0.478,0.5613,0.3616,2018,"AL"
"35771",0.7516,0.2327,0.1289,0.5786,0.4874,2018,"AL"
"35772",0.7626,0.8899,0.2186,0.8003,0.8082,2018,"AL"
"35773",0.3145,0.1619,0.6164,0.5975,0.4151,2018,"AL"
"35774",0.3899,0.3994,0.0472,0.1619,0.1462,2018,"AL"
"35775",0.5063,0.1651,0.1698,0.1572,0.1619,2018,"AL"
"35776",0.7201,0.3192,0.1336,0.7248,0.577,2018,"AL"
"35801",0.1211,0.1541,0.6698,0.7453,0.3695,2018,"AL"
"35802",0.0896,0.1997,0.5723,0.5818,0.2469,2018,"AL"
"35803",0.0377,0.4214,0.6525,0.4591,0.217,2018,"AL"
"35805",0.9324,0.7327,0.978,0.9906,0.9937,2018,"AL"
"35806",0.1069,0.0314,0.7075,0.7469,0.2453,2018,"AL"
"35808",0.1462,0.0377,0.327,0.1541,0.044,2018,"AL"
"35810",0.7343,0.6069,0.989,0.8176,0.9088,2018,"AL"
"35811",0.1792,0.467,0.7406,0.6541,0.4764,2018,"AL"
"35816",0.8585,0.1085,0.9827,0.9245,0.8915,2018,"AL"
"35824",0.0503,0.1509,0.7531,0.3491,0.1588,2018,"AL"
"35896",0.4843,0.0094,0.566,0.1132,0.0676,2018,"AL"
"35901",0.5283,0.8349,0.9151,0.8947,0.8821,2018,"AL"
"35903",0.6415,0.5802,0.934,0.7877,0.8381,2018,"AL"
"35904",0.7028,0.8365,0.6242,0.6557,0.7704,2018,"AL"
"35905",0.1226,0.5189,0.0912,0.489,0.1777,2018,"AL"
"35906",0.1887,0.5079,0.772,0.6226,0.4827,2018,"AL"
"35907",0.0425,0.2013,0.3428,0.1336,0.0519,2018,"AL"
"35950",0.728,0.5629,0.9214,0.7563,0.8538,2018,"AL"
"35951",0.7406,0.6164,0.9403,0.9858,0.945,2018,"AL"
"35952",0.7296,0.8805,0.6384,0.7201,0.8349,2018,"AL"
"35953",0.6053,0.7013,0.1604,0.8082,0.6682,2018,"AL"
"35954",0.5204,0.6462,0.6714,0.7846,0.7374,2018,"AL"
"35956",0.3318,0.8994,0.2783,0.2987,0.4182,2018,"AL"
"35957",0.6651,0.772,0.8239,0.8192,0.8711,2018,"AL"
"35958",0.4591,0.5094,0.3569,0.3239,0.3742,2018,"AL"
"35959",0.5487,0.7453,0.3223,0.6808,0.6494,2018,"AL"
"35960",0.3239,0.5692,0.4984,0.7862,0.6022,2018,"AL"
"35961",0.7186,0.7421,0.9088,0.9324,0.923,2018,"AL"
"35962",0.7925,0.5,0.9057,0.8035,0.8742,2018,"AL"
"35963",0.3726,0.6148,0.1211,0.173,0.195,2018,"AL"
"35966",0.6667,0.5031,0.0928,0.0865,0.2028,2018,"AL"
"35967",0.7563,0.5472,0.8066,0.8899,0.8805,2018,"AL"
"35968",0.5409,0.0425,0.7673,0.8915,0.6116,2018,"AL"
"35971",0.3947,0.8475,0.5535,0.9009,0.7579,2018,"AL"
"35972",0.6494,0.9575,0.0425,0.066,0.3066,2018,"AL"
"35973",0.8931,0.3616,0.0739,0.3333,0.4575,2018,"AL"
"35974",0.761,0.8097,0.6305,0.7783,0.8491,2018,"AL"
"35975",0.4858,0.3459,0,0.2846,0.2138,2018,"AL"
"35976",0.2972,0.577,0.6619,0.7186,0.5881,2018,"AL"
"35978",0.6148,0.7044,0.3365,0.2075,0.4481,2018,"AL"
"35979",0.6006,0.1226,0.0362,0.195,0.1635,2018,"AL"
"35980",0.9041,0.4104,0.7987,0.6336,0.8255,2018,"AL"
"35981",0.1981,0.1981,0.2358,0.1761,0.1148,2018,"AL"
"35983",0.1431,0.2107,0.0708,0.3742,0.1164,2018,"AL"
"35984",0.3915,0.4607,0.0503,0.0472,0.1006,2018,"AL"
"35986",0.6682,0.4969,0.6258,0.3396,0.533,2018,"AL"
